,b,b_std
pro::flipt-io__flipt-e5fe37c379e1eec2dd3492c5737c0be761050b26,-0.025612384,0.5426484
pro::flipt-io__flipt-e88e93990e3ec1e7697754b423decc510d5dd5fe,0.6688512,0.62796897
pro::flipt-io__flipt-e91615cf07966da41756017a7d571f9fc0fdbe80,4.896232,1.7245172
pro::flipt-io__flipt-ea9a2663b176da329b3f574da2ce2a664fc5b4a1,5.0199103,1.7200421
pro::flipt-io__flipt-ebb3f84c74d61eee4d8c6875140b990eee62e146,4.783626,1.8461403
pro::flipt-io__flipt-ee02b164f6728d3227c42671028c67a4afd36918,4.8359613,1.9952735
pro::flipt-io__flipt-f1bc91a1b999656dbdb2495ccb57bf2105b84920,4.850087,1.7459874
pro::flipt-io__flipt-f36bd61fb1cee4669de1f00e59da462bfeae8765,4.809355,1.8411998
pro::flipt-io__flipt-f743945d599b178293e89e784b3b2374b1026430,0.98994875,0.6127817
pro::flipt-io__flipt-f808b4dd6e36b9dc8b011eb26b196f4e2cc64c41,4.8652015,1.81947
pro::future-architect__vuls-01441351c3407abfc21c48a38e28828e1b504e0c,1.5684613,0.67937165
pro::future-architect__vuls-030b2e03525d68d74cb749959aac2d7f3fc0effa,4.894905,1.7901447
pro::future-architect__vuls-0ec945d0510cdebf92cdd8999f94610772689f14,4.7441254,1.8264632
pro::future-architect__vuls-139f3a81b66c47e6d8f70ce6c4afe7a9196a6ea8,1.051871,0.67497486
pro::future-architect__vuls-17ae386d1e185ba742eea4668ca77642e22b54c4,0.61910474,0.5653209
pro::future-architect__vuls-1832b4ee3a20177ad313d806983127cb6e53f5cf,4.858636,1.7780099
pro::future-architect__vuls-2923cbc645fbc7a37d50398eb2ab8febda8c3264,1.547785,0.6516551
pro::future-architect__vuls-2c84be80b65d022c262956cd26fc79d8bb2f7010,2.0887976,0.7339907
pro::future-architect__vuls-36456cb151894964ba1683ce7da5c35ada789970,-1.1995909,0.60235274
pro::future-architect__vuls-3c1489e588dacea455ccf4c352a3b1006902e2d4,4.756873,1.703101
pro::future-architect__vuls-3f8de0268376e1f0fa6d9d61abb0d9d3d580ea7d,4.8820186,1.6977708
pro::future-architect__vuls-407407d306e9431d6aa0ab566baa6e44e5ba2904,2.956299,0.9933938
pro::future-architect__vuls-436341a4a522dc83eb8bddd1164b764c8dd6bc45,1.5047028,0.6519495
pro::future-architect__vuls-457a3a9627fb9a0800d0aecf1d4713fb634a9011,1.1934686,0.59374344
pro::future-architect__vuls-4a72295de7b91faa59d90a5bee91535bbe76755d,2.0695927,0.82812065
pro::future-architect__vuls-4b680b996061044e93ef5977a081661665d3360a,2.0508428,0.76367366
pro::future-architect__vuls-4c04acbd9ea5b073efe999e33381fa9f399d6f27,4.8892746,1.459075
pro::future-architect__vuls-50580f6e98eeb36f53f27222f7f4fdfea0b21e8d,2.8180692,0.9765498
pro::future-architect__vuls-54e73c2f5466ef5daec3fb30922b9ac654e4ed25,1.0145966,0.6174175
pro::future-architect__vuls-5af1a227339e46c7abf3f2815e4c636a0c01098e,4.9345565,1.8968757
pro::future-architect__vuls-61c39637f2f3809e1b5dad05f0c57c799dce1587,4.84243,1.8734937
pro::future-architect__vuls-6682232b5c8a9d08c0e9f15bd90d41bff3875adc,0.33620653,0.59598774
pro::future-architect__vuls-6eff6a9329a65cc412e79b8f82444dfa3d0f0b5a,4.8345857,1.7504202
pro::future-architect__vuls-73f0adad95c4d227e2ccfa876c85cc95dd065e13,-0.49986,0.63268536
pro::future-architect__vuls-78b52d6a7f480bd610b692de9bf0c86f57332f23,4.785953,1.7572817
pro::future-architect__vuls-7e91f5ef7e5712b1a3d7d5066ad6607e9debc21c,4.756948,1.8335317
pro::future-architect__vuls-7eb77f5b5127c847481bcf600b4dca2b7a85cf3e,1.0826064,0.73544973
pro::future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,4.834384,1.7154906
pro::future-architect__vuls-8659668177f1feb65963db7a967347a79c5f9c40,1.1175733,0.6902086
pro::future-architect__vuls-86b60e1478e44d28b1aff6b9ac7e95ceb05bc5fc,4.93888,1.556868
pro::future-architect__vuls-878c25bf5a9c9fd88ac32eb843f5636834d5712d,4.9863763,1.6776394
pro::future-architect__vuls-8d5ea98e50cf616847f4e5a2df300395d1f719e9,2.9650779,1.0148638
pro::future-architect__vuls-999529a05b202b0fd29c6fca5039a4c47a3766bb,1.5592463,0.7035323
pro::future-architect__vuls-9a32a94806b54141b7ff12503c48da680ebcf199,-0.7694217,0.60402507
pro::future-architect__vuls-9aa0d87a21bede91c2b45c32187456bb69455e92,0.28059408,0.5884914
pro::future-architect__vuls-a76302c11174ca081f656c63a000ffa746e350af,0.55439943,0.60517657
pro::future-architect__vuls-aaea15e516ece43978cf98e09e52080478b1d39f,0.70171833,0.5913382
pro::future-architect__vuls-abd80417728b16c6502067914d27989ee575f0ee,3.0134394,1.0245959
pro::future-architect__vuls-ad2edbb8448e2c41a097f1c0b52696c0f6c5924d,4.967467,1.759702
pro::future-architect__vuls-b8db2e0b74f60cb7d45f710f255e061f054b6afc,-0.7029237,0.5856942
pro::future-architect__vuls-be7b9114cc9545e68fb0ee7bc63d7ec53d1a00ad,-0.4340257,0.6110737
pro::future-architect__vuls-bff6b7552370b55ff76d474860eead4ab5de785a,4.853026,1.7410675
pro::future-architect__vuls-c11ba27509f733d7d280bdf661cbbe2e7a99df4c,2.130343,0.84220225
pro::future-architect__vuls-ca3f6b1dbf2cd24d1537bfda43e788443ce03a0c,4.8420258,1.742872
pro::future-architect__vuls-cc63a0eccfdd318e67c0a6edeffc7bf09b6025c0,0.18274292,0.6442443
pro::future-architect__vuls-d18e7a751d07260d75ce3ba0cd67c4a6aebfd967,4.797782,1.7655346
pro::future-architect__vuls-d576b6c6c15e56c47cc3e26f5878867677d4a9ea,-1.159287,0.6472841
pro::future-architect__vuls-dc496468b9e9fb73371f9606cdcdb0f8e12e70ca,-1.5793335,0.7329745
pro::future-architect__vuls-e049df50fa1eecdccc5348e27845b5c783ed7c76,0.6652411,0.6486198
pro::future-architect__vuls-e1df74cbc1a1d1889428b3333a3b2405c4651993,-2.2556765,0.84509224
pro::future-architect__vuls-e1fab805afcfc92a2a615371d0ec1e667503c254,4.888599,1.6367103
pro::future-architect__vuls-e3c27e1817d68248043bd09d63cc31f3344a6f2c,2.7860377,1.0935233
pro::future-architect__vuls-e4728e388120b311c4ed469e4f942e0347a2689b,1.4117932,0.71006703
pro::future-architect__vuls-e52fa8d6ed1d23e36f2a86e5d3efe9aa057a1b0d,-0.7896729,0.6087497
pro::future-architect__vuls-e6c0da61324a0c04026ffd1c031436ee2be9503a,4.8718615,1.4890608
pro::future-architect__vuls-edb324c3d9ec3b107bf947f00e38af99d05b3e16,1.01836,0.61332256
pro::future-architect__vuls-ef2be3d6ea4c0a13674aaab08b182eca4e2b9a17,4.915648,1.8196813
pro::future-architect__vuls-f0b3a8b1db98eb1bd32685f1c36c41a99c3452ed,0.2364743,0.6925994
pro::future-architect__vuls-f6509a537660ea2bce0e57958db762edd3a36702,2.0989566,0.84759915
pro::future-architect__vuls-f6cc8c263dc00329786fa516049c60d4779c4a07,1.4182568,0.70452654
pro::future-architect__vuls-fd18df1dd4e4360f8932bc4b894bd8b40d654e7c,4.9168515,1.6658651
pro::future-architect__vuls-fe8d252c51114e922e6836055ef86a15f79ad042,1.0466036,0.62864834
pro::gravitational__teleport-005dcb16bacc6a5d5890c4cd302ccfd4298e275d,5.0286674,1.6743793
pro::gravitational__teleport-007235446f85b1cbaef92664c3b3867517250f21,4.7539134,1.9087751
pro::gravitational__teleport-02d1efb8560a1aa1c72cfb1c08edd8b84a9511b4,1.9404794,0.7688668
pro::gravitational__teleport-0415e422f12454db0c22316cf3eaa5088d6b6322,1.1299748,0.6475229
pro::gravitational__teleport-0ac7334939981cf85b9591ac295c3816954e287e,4.887485,1.6065521
pro::gravitational__teleport-0cb341c926713bdfcbb490c69659a9b101df99eb,2.0871463,0.83687186
pro::gravitational__teleport-0ecf31de0e98b272a6a2610abe1bbedd379a38a3,0.6397523,0.6049507
pro::gravitational__teleport-10123c046e21e1826098e485a4c2212865a49d9f,2.940632,0.9508434
pro::gravitational__teleport-1316e6728a3ee2fc124e2ea0cc6a02044c87a144,4.756515,1.540796
pro::gravitational__teleport-1330415d33a27594c948a36d9d7701f496229e9f,4.9401655,1.6291872
pro::gravitational__teleport-1a77b7945a022ab86858029d30ac7ad0d5239d00,1.5231326,0.69322324
pro::gravitational__teleport-1b08e7d0dbe68fe530a0f08ad408ec198b7c53fc,0.99767214,0.576313
pro::gravitational__teleport-24cafecd8721891092210afc55f6413ab46ca211,1.0467675,0.71981853
pro::gravitational__teleport-288c5519ce0dec9622361a5e5d6cd36aa2d9e348,1.5324398,0.6561658
pro::gravitational__teleport-2b15263e49da5625922581569834eec4838a9257,4.8812065,1.5984008
pro::gravitational__teleport-2bb3bbbd8aff1164a2353381cb79e1dc93b90d28,4.8374934,1.7616048
pro::gravitational__teleport-2be514d3c33b0ae9188e11ac9975485c853d98bb,0.6812874,0.64809734
pro::gravitational__teleport-326fd1d7be87b03998dbc53bc706fdef90f5065c,2.8239365,0.96775275
pro::gravitational__teleport-32bcd71591c234f0d8b091ec01f1f5cbfdc0f13c,0.21057129,0.63418764
pro::gravitational__teleport-3587cca7840f636489449113969a5066025dd5bf,2.0883107,0.79180723
pro::gravitational__teleport-37c3724d0d6637e959e39408ee351565d73afe71,0.005836782,0.584276
pro::gravitational__teleport-3a5c1e26394df2cb4fb3f01147fb9979662972c5,-0.3576649,0.59685117
pro::gravitational__teleport-3fa6904377c006497169945428e8197158667910,4.8432603,1.7326553
pro::gravitational__teleport-3ff19cf7c41f396ae468797d3aeb61515517edc9,0.34623885,0.5271704
pro::gravitational__teleport-3ff75e29fb2153a2637fe7f83e49dc04b1c99c9f,1.006808,0.6782815
pro::gravitational__teleport-46a13210519461c7cec8d643bfbe750265775b41,1.4644698,0.70076776
pro::gravitational__teleport-46aa81b1ce96ebb4ebed2ae53fd78cd44a05da6c,4.878163,1.8622311
pro::gravitational__teleport-47530e1fd8bfb84ec096ebcbbc29990f30829655,2.8443844,0.9975315
pro::gravitational__teleport-4d0117b50dc8cdb91c94b537a4844776b224cd3d,4.730552,1.872294
pro::gravitational__teleport-4e1c39639edf1ab494dd7562844c8b277b5cfa18,4.7975826,1.7807509
pro::gravitational__teleport-4f771403dc4177dc26ee0370f7332f3fe54bee0f,2.8209217,1.11507
pro::gravitational__teleport-53814a2d600ccd74c1e9810a567563432b98386e,1.5287715,0.7126877
pro::gravitational__teleport-59d39dee5a8a66e5b8a18a9085a199d369b1fba8,1.9149404,0.76576716
pro::gravitational__teleport-5dca072bb4301f4579a15364fcf37cc0c39f7f6c,4.77963,1.5783672
pro::gravitational__teleport-629dc432eb191ca479588a8c49205debb83e80e2,2.8423133,1.0831981
pro::gravitational__teleport-645afa051b65d137654fd0d2d878a700152b305a,0.64791095,0.6645878
pro::gravitational__teleport-65438e6e44b6ce51458d09b7bb028a2797cfb0ea,2.0820444,0.7547902
pro::gravitational__teleport-6a14edcf1ff010172fdbac622d0a474ed6af46de,1.9744592,0.86091805
pro::gravitational__teleport-6eaaf3a27e64f4ef4ef855bd35d7ec338cf17460,4.789185,1.6666071
pro::gravitational__teleport-73cc189b0e9636d418c4470ecce0d9af5dae2f02,0.3417177,0.63314533
pro::gravitational__teleport-769b4b5eec7286b7b14e179f2cc52e6b15d2d9f3,4.7941,1.6433975
pro::gravitational__teleport-7744f72c6eb631791434b648ba41083b5f6d2278,4.915424,1.828718
pro::gravitational__teleport-78b0d8c72637df1129fb6ff84fc49ef4b5ab1288,4.8479247,1.7795681
pro::gravitational__teleport-82185f232ae8974258397e121b3bc2ed0c3729ed,4.9171453,1.7892741
pro::gravitational__teleport-8302d467d160f869b77184e262adbe2fbc95d9ba,4.806957,1.692134
pro::gravitational__teleport-87a593518b6ce94624f6c28516ce38cc30cbea5a,2.9541538,0.970963
pro::gravitational__teleport-89f0432ad5dc70f1f6a30ec3a8363d548371a718,2.9301255,0.9444187
pro::gravitational__teleport-96019ce0be7a2c8e36363f359eb7c943b41dde70,1.896224,0.8455586
pro::gravitational__teleport-a95b3ae0667f9e4b2404bf61f51113e6d83f01cd,2.8648922,0.94664544
pro::gravitational__teleport-ac2fb2f9b4fd1896b554d3011df23d3d71295779,0.34031504,0.6848155
pro::gravitational__teleport-ad41b3c15414b28a6cec8c25424a19bfa7abd0e9,0.9825821,0.68468475
pro::gravitational__teleport-af5e2517de7d18406b614e413aca61c319312171,2.0915492,0.801522
pro::gravitational__teleport-b1bcd8b90c474a35bb11cc3ef4cc8941e1f8eab2,0.5712265,0.6457226
pro::gravitational__teleport-b4e7cd3a5e246736d3fe8d6886af55030b232277,4.8882704,1.7058239
pro::gravitational__teleport-b5d8169fc0a5e43fee2616c905c6d32164654dc6,4.792412,1.6871821
pro::gravitational__teleport-b8fbb2d1e90ffcde88ed5fe9920015c1be075788,4.7453766,1.8207169
pro::gravitational__teleport-ba6c4a135412c4296dd5551bd94042f0dc024504,4.910489,1.5883862
pro::gravitational__teleport-baeb2697c4e4870c9850ff0cd5c7a2d08e1401c9,2.90864,0.97095466
pro::gravitational__teleport-bb562408da4adeae16e025be65e170959d1ec492,4.885724,1.6017334
pro::gravitational__teleport-bb69574e02bd62e5ccd3cebb25e1c992641afb2a,2.0382597,0.7705351
pro::gravitational__teleport-c1b1c6a1541c478d7777a48fca993cc8206c73b9,1.5389557,0.69133514
pro::gravitational__teleport-c335534e02de143508ebebc7341021d7f8656e8f,2.871187,1.0734085
pro::gravitational__teleport-c782838c3a174fdff80cafd8cd3b1aa4dae8beb2,4.908697,1.8657616
pro::gravitational__teleport-cb712e3f0b06dadc679f895daef8072cae400c26,0.6470293,0.62362635
pro::gravitational__teleport-d6ffe82aaf2af1057b69c61bf9df777f5ab5635a,4.944934,1.6029649
pro::gravitational__teleport-d873ea4fa67d3132eccba39213c1ca2f52064dcc,4.892773,1.6952674
pro::gravitational__teleport-db89206db6c2969266e664c7c0fb51b70e958b64,4.84711,1.9102236
pro::gravitational__teleport-dd3977957a67bedaf604ad6ca255ba8c7b6704e9,4.962817,1.6242415
pro::gravitational__teleport-e6681abe6a7113cfd2da507f05581b7bdf398540,4.7475348,1.7588984
pro::gravitational__teleport-e6895d8934f6e484341034869901145fbc025e72,-0.44728908,0.6043199
pro::gravitational__teleport-e6d86299a855687b21970504fbf06f52a8f80c74,1.1162736,0.64807284
pro::gravitational__teleport-eda668c30d9d3b56d9c69197b120b01013611186,4.8616586,1.783621
pro::gravitational__teleport-eefac60a350930e5f295f94a2d55b94c1988c04e,2.8918674,1.2095419
pro::gravitational__teleport-f432a71a13e698b6e1c4672a2e9e9c1f32d35c12,4.811694,1.8393979
pro::gravitational__teleport-fb0ab2b9b771377a689fd0d0374777c251e58bbf,4.900235,1.8045087
pro::gravitational__teleport-fd2959260ef56463ad8afa4c973f47a50306edd4,5.0342684,1.7134252
pro::internetarchive__openlibrary-00bec1e7c8f3272c469a58e1377df03f955ed478,-2.9898183,1.0717361
pro::internetarchive__openlibrary-03095f2680f7516fca35a58e665bf2a41f006273,2.8341427,1.067504
pro::internetarchive__openlibrary-08ac40d050a64e1d2646ece4959af0c42bf6b7b5,2.9612863,1.0615902
pro::internetarchive__openlibrary-09865f5fb549694d969f0a8e49b9d204ef1853ca,2.0807638,0.8372104
pro::internetarchive__openlibrary-0a90f9f0256e4f933523e9842799e39f95ae29ce,4.768436,1.7105937
pro::internetarchive__openlibrary-0d13e6b4bf80bced6c0946b969b9a1b6963f6bce,-1.6516699,0.74270314
pro::internetarchive__openlibrary-0dc5b20fa186f9714f8a838178597e69f549d026,2.117304,0.744207
pro::internetarchive__openlibrary-111347e9583372e8ef91c82e0612ea437ae3a9c9,2.9415138,1.0035272
pro::internetarchive__openlibrary-11838fad1028672eb975c79d8984f03348500173,5.000611,1.512506
pro::internetarchive__openlibrary-123e6e5e1c85b9c07d1e98f70bfc480bc8016890,-0.10679168,0.5728366
pro::internetarchive__openlibrary-1351c59fd43689753de1fca32c78d539a116ffc1,-0.42381072,0.5978963
pro::internetarchive__openlibrary-1894cb48d6e7fb498295a5d3ed0596f6f603b784,0.68594843,0.5791483
pro::internetarchive__openlibrary-1be7de788a444f6255e89c10ef6aa608550604a8,0.61498487,0.59916073
pro::internetarchive__openlibrary-25858f9f0c165df25742acf8309ce909773f0cdd,0.6439789,0.59762764
pro::internetarchive__openlibrary-2abe28b472ffed563a87cfe83685b161b35263b0,-1.206172,0.6385549
pro::internetarchive__openlibrary-2fe532a33635aab7a9bfea5d977f6a72b280a30c,0.61614704,0.6376625
pro::internetarchive__openlibrary-308a35d6999427c02b1dbf5211c033ad3b352556,1.4863726,0.71441007
pro::internetarchive__openlibrary-30bc73a1395fba2300087c7f307e54bb5372b60a,4.884942,1.6710873
pro::internetarchive__openlibrary-322d7a46cdc965bfabbf9500e98fde098c9d95b2,4.8045297,1.742155
pro::internetarchive__openlibrary-3aeec6afed9198d734b7ee1293f03ca94ff970e1,-0.38846922,0.584411
pro::internetarchive__openlibrary-3c48b4bb782189e0858e6c3fc7956046cf3e1cfb,-1.2201186,0.57186383
pro::internetarchive__openlibrary-3f580a5f244c299d936d73d9e327ba873b6401d9,-2.317161,0.8419273
pro::internetarchive__openlibrary-3f7db6bbbcc7c418b3db72d157c6aed1d45b2ccf,1.669754,0.69754875
pro::internetarchive__openlibrary-427f1f4eddfc54735ca451779d4f95bf683d1b0e,0.2416237,0.6044548
pro::internetarchive__openlibrary-431442c92887a3aece3f8aa771dd029738a80eb1,-0.121403344,0.6657947
pro::internetarchive__openlibrary-43f9e7e0d56a4f1d487533543c17040a029ac501,0.23010288,0.6167634
pro::internetarchive__openlibrary-4a5d2a7d24c9e4c11d3069220c0685b736d5ecde,-2.2255147,0.7875042
pro::internetarchive__openlibrary-4b7ea2977be2747496ba792a678940baa985f7ea,4.9844084,1.6319292
pro::internetarchive__openlibrary-5069b09e5f64428dce59b33455c8bb17fe577070,-0.11291597,0.5652053
pro::internetarchive__openlibrary-53d376b148897466bb86d5accb51912bbbe9a8ed,2.818034,1.060402
pro::internetarchive__openlibrary-53e02a22972e9253aeded0e1981e6845e1e521fe,2.0823724,0.7929279
pro::internetarchive__openlibrary-58999808a17a26b387f8237860a7a524d1e2d262,0.63224363,0.6437949
pro::internetarchive__openlibrary-5c6c22f3d2edf2f1b10f5dc335e32cb6a5f40341,0.9748088,0.6820679
pro::internetarchive__openlibrary-5de7de19211e71b29b2f2ba3b1dff2fe065d660f,4.8067417,1.936147
pro::internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d,4.827652,1.7733101
pro::internetarchive__openlibrary-60725705782832a2cb22e17c49697948a42a9d03,-0.06824366,0.56744146
pro::internetarchive__openlibrary-62d2243131a9c7e6aee00d1e9c5660fd5b594e89,-0.6998764,0.63817936
pro::internetarchive__openlibrary-630221ab686c64e75a2ce253c893c033e4814b2e,4.9166093,1.9065579
pro::internetarchive__openlibrary-6a117fab6c963b74dc1ba907d838e74f76d34a4b,1.4690912,0.7069211
pro::internetarchive__openlibrary-6afdb09df692223c3a31df65cfa92f15e5614c01,-0.76873994,0.64324933
pro::internetarchive__openlibrary-6e889f4a733c9f8ce9a9bd2ec6a934413adcedb9,2.7862282,0.9961873
pro::internetarchive__openlibrary-6fdbbeee4c0a7e976ff3e46fb1d36f4eb110c428,2.0204341,0.83442867
pro::internetarchive__openlibrary-72321288ea790a3ace9e36f1c05b68c93f7eec43,-0.4654793,0.5936281
pro::internetarchive__openlibrary-757fcf46c70530739c150c57b37d6375f155dc97,0.70599955,0.577362
pro::internetarchive__openlibrary-77c16d530b4d5c0f33d68bead2c6b329aee9b996,4.883569,1.7250351
pro::internetarchive__openlibrary-798055d1a19b8fa0983153b709f460be97e33064,1.4968846,0.63844395
pro::internetarchive__openlibrary-798a582540019363d14b2090755cc7b89a350788,1.451261,0.69998467
pro::internetarchive__openlibrary-7bf3238533070f2d24bafbb26eedf675d51941f6,-0.75591636,0.6387426
pro::internetarchive__openlibrary-7c8dc180281491ccaa1b4b43518506323750d1e4,3.0025702,1.000702
pro::internetarchive__openlibrary-7cbfb812ef0e1f9716e2d6e85d538a96fcb79d13,-1.1357329,0.656152
pro::internetarchive__openlibrary-7edd1ef09d91fe0b435707633c5cc9af41dedddf,4.7290688,1.9243747
pro::internetarchive__openlibrary-7f6b722a10f822171501d027cad60afe53337732,-0.04418639,0.61312944
pro::internetarchive__openlibrary-7f7e53aa4cf74a4f8549a5bcd4810c527e2f6d7e,0.33996096,0.598093
pro::internetarchive__openlibrary-89e4b4431fe7506c365a6f6eb6f6d048d04c044c,1.5346395,0.7169918
pro::internetarchive__openlibrary-8a5a63af6e0be406aa6c8c9b6d5f28b2f1b6af5a,-0.38543314,0.5797856
pro::internetarchive__openlibrary-8a9d9d323dfcf2a5b4f38d70b1108b030b20ebf3,4.9427223,1.5627606
pro::internetarchive__openlibrary-910b08570210509f3bcfebf35c093a48243fe754,5.065262,1.5832107
pro::internetarchive__openlibrary-91efee627df01e32007abf2d6ebf73f9d9053076,0.36679527,0.6423199
pro::internetarchive__openlibrary-92db3454aeaa02f89b4cdbc3103f7e95c9759f92,-1.2082231,0.6671604
pro::internetarchive__openlibrary-9bdfd29fac883e77dcbc4208cab28c06fd963ab2,4.969454,1.4827719
pro::internetarchive__openlibrary-9c392b60e2c6fa1d68cb68084b4b4ff04d0cb35c,-0.06501865,0.63720053
pro::internetarchive__openlibrary-9cd47f4dc21e273320d9e30d889c864f8cb20ccf,4.841618,1.6354978
pro::internetarchive__openlibrary-a48fd6ba9482c527602bc081491d9e8ae6e8226c,2.8804646,0.96739507
pro::internetarchive__openlibrary-a7b7dc5735a1b3a9824376b1b469b556dd413981,-1.1792738,0.6278567
pro::internetarchive__openlibrary-acdddc590d0b3688f8f6386f43709049622a6e19,1.4950852,0.69718724
pro::internetarchive__openlibrary-b112069e31e0553b2d374abb5f9c5e05e8f3dbbe,-1.7581398,0.6527298
pro::internetarchive__openlibrary-b4f7c185ae5f1824ac7f3a18e8adf6a4b468459c,-0.82269454,0.62564516
pro::internetarchive__openlibrary-b67138b316b1e9c11df8a4a8391fe5cc8e75ff9f,4.997192,1.6254481
pro::internetarchive__openlibrary-ba3abfb6af6e722185d3715929ab0f3e5a134eed,-0.35390195,0.5739319
pro::internetarchive__openlibrary-bb152d23c004f3d68986877143bb0f83531fe401,4.7796826,1.7276232
pro::internetarchive__openlibrary-bdba0af0f6cbaca8b5fc3be2a3080f38156d9c92,-0.5139508,0.6257441
pro::internetarchive__openlibrary-c05ccf2cd8baa81609434e0e35c4a63bc0da5a25,1.0921322,0.65391797
pro::internetarchive__openlibrary-c12943be1db80cf1114bc267ddf4f9933aca9b28,-0.46610954,0.5931332
pro::internetarchive__openlibrary-c4eebe6677acc4629cb541a98d5e91311444f5d4,-0.49681118,0.5740018
pro::internetarchive__openlibrary-c506c1b0b678892af5cb22c1c1dbc35d96787a0a,-0.7549789,0.61689997
pro::internetarchive__openlibrary-c8996ecc40803b9155935fd7ff3b8e7be6c1437c,4.9443927,1.7825048
pro::internetarchive__openlibrary-d109cc7e6e161170391f98f9a6fa1d02534c18e4,1.4388772,0.6695764
pro::internetarchive__openlibrary-d40ec88713dc95ea791b252f92d2f7b75e107440,4.871045,1.6361835
pro::internetarchive__openlibrary-d8162c226a9d576f094dc1830c4c1ffd0be2dd17,-0.47259524,0.6129761
pro::internetarchive__openlibrary-dbbd9d539c6d4fd45d5be9662aa19b6d664b5137,4.970994,1.8031651
pro::internetarchive__openlibrary-de6ae10512f1b5ef585c8341b451bc49c9fd4996,-3.0803497,1.04201
pro::internetarchive__openlibrary-e010b2a13697de70170033902ba2e27a1e1acbe9,-1.672074,0.6827594
pro::internetarchive__openlibrary-e1e502986a3b003899a8347ac8a7ff7b08cbfc39,4.826224,1.7600112
pro::internetarchive__openlibrary-e390c1212055dd84a262a798e53487e771d3fb64,-0.117868796,0.56513125
pro::internetarchive__openlibrary-e8084193a895d8ee81200f49093389a3887479ce,0.6641863,0.61723846
pro::internetarchive__openlibrary-f0341c0ba81c790241b782f5103ce5c9a6edf8e3,0.6932725,0.6107833
pro::internetarchive__openlibrary-f343c08f89c772f7ba6c0246f384b9e6c3dc0add,2.8666945,1.0132209
pro::internetarchive__openlibrary-f3b26c2c0721f8713353fe4b341230332e30008d,0.3032149,0.6188374
pro::internetarchive__openlibrary-f8cc11d9c1575fdba5ac66aee0befca970da8d64,4.7427125,1.8088278
pro::internetarchive__openlibrary-fad4a40acf5ff5f06cd7441a5c7baf41a7d81fe4,-1.1261079,0.59753484
pro::internetarchive__openlibrary-fdbc0d8f418333c7e575c40b661b582c301ef7ac,0.66644865,0.6399998
pro::navidrome__navidrome-0130c6dc13438b48cf0fdfab08a89e357b5517c9,2.718809,1.2553074
pro::navidrome__navidrome-0488fb92cb02a82924fb1181bf1642f2e87096db,4.9610343,1.8111438
pro::navidrome__navidrome-09ae41a2da66264c60ef307882362d2e2d8d8b89,0.26582083,0.65798867
pro::navidrome__navidrome-0a650de357babdcc8ce910fe37fee84acf4ed2fe,0.6557558,0.6004246
pro::navidrome__navidrome-10108c63c9b5bdf2966ffb3239bbfd89683e37b7,1.4310273,0.65567887
pro::navidrome__navidrome-1e96b858a91c640fe64e84c5e5ad8cc0954ea38d,1.443347,0.6484087
pro::navidrome__navidrome-23bebe4e06124becf1000e88472ae71a6ca7de4c,1.4574709,0.6830162
pro::navidrome__navidrome-27875ba2dd1673ddf8affca526b0664c12c3b98b,4.7310133,1.8266729
pro::navidrome__navidrome-28389fb05e1523564dfc61fa43ed8eb8a10f938c,4.8712163,1.8606602
pro::navidrome__navidrome-29b7b740ce469201af0a0510f3024adc93ef4c8e,-2.987036,0.93578297
pro::navidrome__navidrome-29bc17acd71596ae92131aca728716baf5af9906,-0.42720982,0.6254552
pro::navidrome__navidrome-31799662706fedddf5bcc1a76b50409d1f91d327,0.7585903,0.62609655
pro::navidrome__navidrome-3853c3318f67b41a9e4cb768618315ff77846fdb,4.8503704,1.6635661
pro::navidrome__navidrome-3972616585e82305eaf26aa25697b3f5f3082288,4.850225,1.643334
pro::navidrome__navidrome-3977ef6e0f287f598b6e4009876239d6f13b686d,-0.8147125,0.6048583
pro::navidrome__navidrome-3982ba725883e71d4e3e618c61d5140eeb8d850a,4.868924,1.6942815
pro::navidrome__navidrome-3bc9e75b2843f91f6a1e9b604e321c2bd4fd442a,-1.210033,0.66002953
pro::navidrome__navidrome-3f2d24695e9382125dfe5e6d6c8bbeb4a313a4f9,0.6707687,0.61799544
pro::navidrome__navidrome-5001518260732e36d9a42fb8d4c054b28afab310,1.5489111,0.7018606
pro::navidrome__navidrome-55730514ea59d5f1d0b8e3f8745569c29bdbf7b4,4.8274336,1.8835348
pro::navidrome__navidrome-55bff343cdaad1f04496f724eda4b55d422d7f17,4.9288344,1.6064835
pro::navidrome__navidrome-56303cde23a4122d2447cbb266f942601a78d7e4,1.591249,0.80089074
pro::navidrome__navidrome-5e549255201e622c911621a7b770477b1f5a89be,2.0555115,0.7234276
pro::navidrome__navidrome-669c8f4c49a7ef51ac9a53c725097943f67219eb,-1.1068982,0.63598555
pro::navidrome__navidrome-66b74c81f115c78cb69910b0472eeb376750efc4,1.5022767,0.71006787
pro::navidrome__navidrome-677d9947f302c9f7bba8c08c788c3dc99f235f39,-0.07504986,0.63437194
pro::navidrome__navidrome-69e0a266f48bae24a11312e9efbe495a337e4c84,4.938943,1.6584367
pro::navidrome__navidrome-6b3b4d83ffcf273b01985709c8bc5df12bbb8286,4.7124705,1.6722139
